month,department,category,gl_account,description,cost_2025,cost_2024,monthly_budget
2025-01,Operations,Payroll,4005,Operations Payroll expense,90088.49,84435.51,83337.84
2025-01,Operations,Software,4006,Operations Software expense,9217.93,8639.51,9259.76
2025-01,Operations,Travel,4007,Operations Travel expense,9474.1,8879.61,9259.76
2025-01,Operations,Consulting,4008,Operations Consulting expense,17256.11,16173.3,18519.52
2025-01,Operations,Facilities,4009,Operations Facilities expense,68851.26,64530.9,64818.32
2025-02,Sales,Payroll,4000,Sales Payroll expense,103580.7,99694.37,109028.54
2025-02,Sales,Software,4001,Sales Software expense,13949.42,13787.6,13628.57
2025-02,Sales,Travel,4002,Sales Travel expense,67299.39,63543.96,68142.84
2025-02,Sales,Consulting,4003,Sales Consulting expense,28554.23,26239.72,27257.13
2025-02,Sales,Facilities,4004,Sales Facilities expense,54680.26,53719.05,54514.27
2025-02,Marketing,Payroll,4001,Marketing Payroll expense,72382.64,74769.5,75342.96
2025-02,Marketing,Software,4002,Marketing Software expense,22388.79,21417.67,21526.56
2025-02,Marketing,Travel,4003,Marketing Travel expense,31467.7,32949.62,32289.84
2025-02,Marketing,Consulting,4004,Marketing Consulting expense,52138.8,50328.39,53816.4
2025-02,Marketing,Facilities,4005,Marketing Facilities expense,31009.41,31503.48,32289.84
2025-02,IT,Payroll,4002,IT Payroll expense,30334.33,34538.64,30230.3
2025-02,IT,Software,4003,IT Software expense,41262.42,42532.55,40307.07
2025-02,IT,Travel,4004,IT Travel expense,5058.03,5286.48,5038.38
2025-02,IT,Consulting,4005,IT Consulting expense,15663.11,15704.08,15115.15
2025-02,IT,Facilities,4006,IT Facilities expense,10048.53,9592.08,10076.77
2025-02,HR,Payroll,4003,HR Payroll expense,29116.67,27202.46,29913.95
2025-02,HR,Software,4004,HR Software expense,2373.93,2705.93,2492.83
2025-02,HR,Travel,4005,HR Travel expense,5192.78,4708.34,4985.66
2025-02,HR,Consulting,4006,HR Consulting expense,7531.45,7640.94,7478.49
2025-02,HR,Facilities,4007,HR Facilities expense,5047.27,5066.63,4985.66
2025-02,Finance,Payroll,4004,Finance Payroll expense,30355.86,28846.39,30738.14
2025-02,Finance,Software,4005,Finance Software expense,6056.48,6007.39,6147.63
2025-02,Finance,Travel,4006,Finance Travel expense,3031.94,2788.66,3073.81
2025-02,Finance,Consulting,4007,Finance Consulting expense,12330.49,11514.27,12295.25
2025-02,Finance,Facilities,4008,Finance Facilities expense,9178.85,9250.73,9221.44
2025-02,Operations,Payroll,4005,Operations Payroll expense,80777.54,80760.32,83337.84
2025-02,Operations,Software,4006,Operations Software expense,9710.27,8679.33,9259.76
2025-02,Operations,Travel,4007,Operations Travel expense,8879.3,9317.64,9259.76
2025-02,Operations,Consulting,4008,Operations Consulting expense,18396.79,16499.3,18519.52
2025-02,Operations,Facilities,4009,Operations Facilities expense,62787.82,64812.91,64818.32
2025-03,Sales,Payroll,4000,Sales Payroll expense,114430.14,96366.52,109028.54
2025-03,Sales,Software,4001,Sales Software expense,13879.69,13979.77,13628.57
2025-03,Sales,Travel,4002,Sales Travel expense,67726.96,67153.16,68142.84
2025-03,Sales,Consulting,4003,Sales Consulting expense,26379.64,27021.92,27257.13
2025-03,Sales,Facilities,4004,Sales Facilities expense,56182.94,52840.13,54514.27
2025-03,Marketing,Payroll,4001,Marketing Payroll expense,71799.57,69829.68,75342.96
2025-03,Marketing,Software,4002,Marketing Software expense,21822.41,21263.37,21526.56
2025-03,Marketing,Travel,4003,Marketing Travel expense,31480.63,33826.2,32289.84
2025-03,Marketing,Consulting,4004,Marketing Consulting expense,53930.27,49202.29,53816.4
2025-03,Marketing,Facilities,4005,Marketing Facilities expense,33851.37,30101.25,32289.84
2025-03,IT,Payroll,4002,IT Payroll expense,31041.46,32605.08,30230.3
2025-03,IT,Software,4003,IT Software expense,40977.95,46248.31,40307.07
2025-03,IT,Travel,4004,IT Travel expense,5021.44,5456.54,5038.38
2025-03,IT,Consulting,4005,IT Consulting expense,15752.15,15708.35,15115.15
2025-03,IT,Facilities,4006,IT Facilities expense,10557.66,9466.79,10076.77
2025-03,HR,Payroll,4003,HR Payroll expense,30793.97,29642.36,29913.95
2025-03,HR,Software,4004,HR Software expense,2553.32,2593.5,2492.83
2025-03,HR,Travel,4005,HR Travel expense,5148.58,4591.79,4985.66
2025-03,HR,Consulting,4006,HR Consulting expense,7334.45,7324.12,7478.49
2025-03,HR,Facilities,4007,HR Facilities expense,4891.59,5119.3,4985.66
2025-03,Finance,Payroll,4004,Finance Payroll expense,30943.37,29984.69,30738.14
2025-03,Finance,Software,4005,Finance Software expense,5878.93,5917.84,6147.63
2025-03,Finance,Travel,4006,Finance Travel expense,3060.36,2776.02,3073.81
2025-03,Finance,Consulting,4007,Finance Consulting expense,12542.43,11789.15,12295.25
2025-03,Finance,Facilities,4008,Finance Facilities expense,9172.47,9821.89,9221.44
2025-03,Operations,Payroll,4005,Operations Payroll expense,80213.94,83830.03,83337.84
2025-03,Operations,Software,4006,Operations Software expense,9067.64,8562.6,9259.76
2025-03,Operations,Travel,4007,Operations Travel expense,9022.4,8760.32,9259.76
2025-03,Operations,Consulting,4008,Operations Consulting expense,18908.87,16877.75,18519.52
2025-03,Operations,Facilities,4009,Operations Facilities expense,61692.9,64388.58,64818.32
2025-04,Sales,Payroll,4000,Sales Payroll expense,112534.83,99775.07,109028.54
2025-04,Sales,Software,4001,Sales Software expense,13118.84,13981.09,13628.57
2025-04,Sales,Travel,4002,Sales Travel expense,65613.41,67581.77,68142.84
2025-04,Sales,Consulting,4003,Sales Consulting expense,26961.9,25096.91,27257.13
2025-04,Sales,Facilities,4004,Sales Facilities expense,55046.48,54157.07,54514.27
2025-04,Marketing,Payroll,4001,Marketing Payroll expense,73486.57,71659.83,75342.96
2025-04,Marketing,Software,4002,Marketing Software expense,21126.32,21771.72,21526.56
2025-04,Marketing,Travel,4003,Marketing Travel expense,31334.76,33074.88,32289.84
2025-04,Marketing,Consulting,4004,Marketing Consulting expense,56448.69,49678.04,53816.4
2025-04,Marketing,Facilities,4005,Marketing Facilities expense,32812.41,30607.35,32289.84
2025-04,IT,Payroll,4002,IT Payroll expense,31090.54,32143.74,30230.3
2025-04,IT,Software,4003,IT Software expense,39735.27,43172.13,40307.07
2025-04,IT,Travel,4004,IT Travel expense,4937.01,5306.89,5038.38
2025-04,IT,Consulting,4005,IT Consulting expense,15805.05,16115.65,15115.15
2025-04,IT,Facilities,4006,IT Facilities expense,10166.76,9657.26,10076.77
2025-04,HR,Payroll,4003,HR Payroll expense,29881.89,28213.88,29913.95
2025-04,HR,Software,4004,HR Software expense,2441.3,2550.25,2492.83
2025-04,HR,Travel,4005,HR Travel expense,4940.03,4545.14,4985.66
2025-04,HR,Consulting,4006,HR Consulting expense,7345.31,7330.98,7478.49
2025-04,HR,Facilities,4007,HR Facilities expense,4790.54,5264.7,4985.66
2025-04,Finance,Payroll,4004,Finance Payroll expense,30459.51,28087.43,30738.14
2025-04,Finance,Software,4005,Finance Software expense,6056.15,5945.53,6147.63
2025-04,Finance,Travel,4006,Finance Travel expense,2979.06,3027.3,3073.81
2025-04,Finance,Consulting,4007,Finance Consulting expense,12802.91,12476.62,12295.25
2025-04,Finance,Facilities,4008,Finance Facilities expense,9492.96,9160.25,9221.44
2025-04,Operations,Payroll,4005,Operations Payroll expense,83420.5,81879.07,83337.84
2025-04,Operations,Software,4006,Operations Software expense,9603.57,8909.36,9259.76
2025-04,Operations,Travel,4007,Operations Travel expense,9708.55,8741.3,9259.76
2025-04,Operations,Consulting,4008,Operations Consulting expense,18757.33,16455.68,18519.52
2025-04,Operations,Facilities,4009,Operations Facilities expense,67362.01,62097.48,64818.32
2025-05,Sales,Payroll,4000,Sales Payroll expense,110991.21,104388.6,109028.54
2025-05,Sales,Software,4001,Sales Software expense,14276.84,13599.81,13628.57
2025-05,Sales,Travel,4002,Sales Travel expense,67251.08,62522.58,68142.84
2025-05,Sales,Consulting,4003,Sales Consulting expense,27374.01,25354.96,27257.13
2025-05,Sales,Facilities,4004,Sales Facilities expense,54543.03,53163.04,54514.27
2025-05,Marketing,Payroll,4001,Marketing Payroll expense,77550.64,70671.75,75342.96
2025-05,Marketing,Software,4002,Marketing Software expense,20916.36,21171.37,21526.56
2025-05,Marketing,Travel,4003,Marketing Travel expense,33082.32,33513.74,32289.84
2025-05,Marketing,Consulting,4004,Marketing Consulting expense,56278.14,51617.94,53816.4
2025-05,Marketing,Facilities,4005,Marketing Facilities expense,32134.44,30983.63,32289.84
2025-05,IT,Payroll,4002,IT Payroll expense,31551.96,33364.12,30230.3
2025-05,IT,Software,4003,IT Software expense,40146.29,42564.05,40307.07
2025-05,IT,Travel,4004,IT Travel expense,5166.02,5297.61,5038.38
2025-05,IT,Consulting,4005,IT Consulting expense,15223.8,15927.34,15115.15
2025-05,IT,Facilities,4006,IT Facilities expense,9919.8,9533.46,10076.77
2025-05,HR,Payroll,4003,HR Payroll expense,29082.64,29500.07,29913.95
2025-05,HR,Software,4004,HR Software expense,2488.25,2617.2,2492.83
2025-05,HR,Travel,4005,HR Travel expense,4990.19,4374.71,4985.66
2025-05,HR,Consulting,4006,HR Consulting expense,7575.9,7570.44,7478.49
2025-05,HR,Facilities,4007,HR Facilities expense,4812.19,5302.17,4985.66
2025-05,Finance,Payroll,4004,Finance Payroll expense,29856.9,28203.61,30738.14
2025-05,Finance,Software,4005,Finance Software expense,6122.77,6064.97,6147.63
2025-05,Finance,Travel,4006,Finance Travel expense,3216.35,2929.61,3073.81
2025-05,Finance,Consulting,4007,Finance Consulting expense,11732.77,12096.51,12295.25
2025-05,Finance,Facilities,4008,Finance Facilities expense,9111.98,9410.1,9221.44
2025-05,Operations,Payroll,4005,Operations Payroll expense,82230.05,83428.91,83337.84
2025-05,Operations,Software,4006,Operations Software expense,9579.99,8938.6,9259.76
2025-05,Operations,Travel,4007,Operations Travel expense,9643.66,8926.87,9259.76
2025-05,Operations,Consulting,4008,Operations Consulting expense,17690.48,16550.11,18519.52
2025-05,Operations,Facilities,4009,Operations Facilities expense,63267.62,65277.5,64818.32
2025-06,Sales,Payroll,4000,Sales Payroll expense,103829.76,99136.32,109028.54
2025-06,Sales,Software,4001,Sales Software expense,13814.37,14657.5,13628.57
2025-06,Sales,Travel,4002,Sales Travel expense,67029.65,68049.51,68142.84
2025-06,Sales,Consulting,4003,Sales Consulting expense,28518.86,26080.04,27257.13
2025-06,Sales,Facilities,4004,Sales Facilities expense,54408.01,57185.47,54514.27
2025-06,Marketing,Payroll,4001,Marketing Payroll expense,71764.11,69126.21,75342.96
2025-06,Marketing,Software,4002,Marketing Software expense,21485.2,21624.36,21526.56
2025-06,Marketing,Travel,4003,Marketing Travel expense,31984.57,33953.54,32289.84
2025-06,Marketing,Consulting,4004,Marketing Consulting expense,54703.07,51661.89,53816.4
2025-06,Marketing,Facilities,4005,Marketing Facilities expense,32680.54,29432.04,32289.84
2025-06,IT,Payroll,4002,IT Payroll expense,31060.62,34409.36,30230.3
2025-06,IT,Software,4003,IT Software expense,42205.73,44107.36,40307.07
2025-06,IT,Travel,4004,IT Travel expense,4830.9,5457.19,5038.38
2025-06,IT,Consulting,4005,IT Consulting expense,15843.39,16498.96,15115.15
2025-06,IT,Facilities,4006,IT Facilities expense,9980.59,9476.95,10076.77
2025-06,HR,Payroll,4003,HR Payroll expense,31381.85,29446.12,29913.95
2025-06,HR,Software,4004,HR Software expense,2461.38,2528.91,2492.83
2025-06,HR,Travel,4005,HR Travel expense,4771.82,4774.09,4985.66
2025-06,HR,Consulting,4006,HR Consulting expense,7574.49,7754.86,7478.49
2025-06,HR,Facilities,4007,HR Facilities expense,5106.97,5327.22,4985.66
2025-06,Finance,Payroll,4004,Finance Payroll expense,29651.96,29461.21,30738.14
2025-06,Finance,Software,4005,Finance Software expense,5875.04,5803,6147.63
2025-06,Finance,Travel,4006,Finance Travel expense,2997.05,2898.34,3073.81
2025-06,Finance,Consulting,4007,Finance Consulting expense,12579.4,12187.09,12295.25
2025-06,Finance,Facilities,4008,Finance Facilities expense,8983.92,9344.56,9221.44
2025-06,Operations,Payroll,4005,Operations Payroll expense,85762.12,85488.5,83337.84
2025-06,Operations,Software,4006,Operations Software expense,9253.61,8899.63,9259.76
2025-06,Operations,Travel,4007,Operations Travel expense,9547.89,8674.29,9259.76
2025-06,Operations,Consulting,4008,Operations Consulting expense,17992.17,16429.05,18519.52
2025-06,Operations,Facilities,4009,Operations Facilities expense,63083.18,63758.67,64818.32
2025-07,Sales,Payroll,4000,Sales Payroll expense,106217.76,100678.03,109028.54
2025-07,Sales,Software,4001,Sales Software expense,13110.5,14268.81,13628.57
2025-07,Sales,Travel,4002,Sales Travel expense,67260.44,63077.44,68142.84
2025-07,Sales,Consulting,4003,Sales Consulting expense,27350.69,25915.68,27257.13
2025-07,Sales,Facilities,4004,Sales Facilities expense,53931.22,57436.73,54514.27
2025-07,Marketing,Payroll,4001,Marketing Payroll expense,71786.55,69562.99,75342.96
2025-07,Marketing,Software,4002,Marketing Software expense,21019.13,21941.72,21526.56
2025-07,Marketing,Travel,4003,Marketing Travel expense,33407.03,33889.86,32289.84
2025-07,Marketing,Consulting,4004,Marketing Consulting expense,51168.1,52723.86,53816.4
2025-07,Marketing,Facilities,4005,Marketing Facilities expense,31914.17,29431.56,32289.84
2025-07,IT,Payroll,4002,IT Payroll expense,29193.88,33011.61,30230.3
2025-07,IT,Software,4003,IT Software expense,38444.31,43393.9,40307.07
2025-07,IT,Travel,4004,IT Travel expense,5131.06,5323.82,5038.38
2025-07,IT,Consulting,4005,IT Consulting expense,14436.53,16076.66,15115.15
2025-07,IT,Facilities,4006,IT Facilities expense,10338.27,9250.43,10076.77
2025-07,HR,Payroll,4003,HR Payroll expense,31024.94,28738.66,29913.95
2025-07,HR,Software,4004,HR Software expense,2494.51,2647.87,2492.83
2025-07,HR,Travel,4005,HR Travel expense,5228.78,4480.87,4985.66
2025-07,HR,Consulting,4006,HR Consulting expense,7650.73,7282.17,7478.49
2025-07,HR,Facilities,4007,HR Facilities expense,5000.2,5231.59,4985.66
2025-07,Finance,Payroll,4004,Finance Payroll expense,29861.9,29244.63,30738.14
2025-07,Finance,Software,4005,Finance Software expense,6200.09,5984.06,6147.63
2025-07,Finance,Travel,4006,Finance Travel expense,3003.8,2971.64,3073.81
2025-07,Finance,Consulting,4007,Finance Consulting expense,12109.95,11906.69,12295.25
2025-07,Finance,Facilities,4008,Finance Facilities expense,9226.53,9259.16,9221.44
2025-07,Operations,Payroll,4005,Operations Payroll expense,85172.13,86773.79,83337.84
2025-07,Operations,Software,4006,Operations Software expense,9608.84,8584.97,9259.76
2025-07,Operations,Travel,4007,Operations Travel expense,9197.82,8716.71,9259.76
2025-07,Operations,Consulting,4008,Operations Consulting expense,17860.47,16076.81,18519.52
2025-07,Operations,Facilities,4009,Operations Facilities expense,66450.62,67485.92,64818.32
2025-08,Sales,Payroll,4000,Sales Payroll expense,112604.96,100722.05,109028.54
2025-08,Sales,Software,4001,Sales Software expense,13651.48,13422.99,13628.57
2025-08,Sales,Travel,4002,Sales Travel expense,71125.71,65859.41,68142.84
2025-08,Sales,Consulting,4003,Sales Consulting expense,26433.31,26845.96,27257.13
2025-08,Sales,Facilities,4004,Sales Facilities expense,53766.29,54764.37,54514.27
2025-08,Marketing,Payroll,4001,Marketing Payroll expense,72698.38,69884.74,75342.96
2025-08,Marketing,Software,4002,Marketing Software expense,21135.33,22440.96,21526.56
2025-08,Marketing,Travel,4003,Marketing Travel expense,33101.78,34452.15,32289.84
2025-08,Marketing,Consulting,4004,Marketing Consulting expense,55047.21,50407.75,53816.4
2025-08,Marketing,Facilities,4005,Marketing Facilities expense,32166.13,30783.54,32289.84
2025-08,IT,Payroll,4002,IT Payroll expense,30666.79,32448.75,30230.3
2025-08,IT,Software,4003,IT Software expense,41272.4,45125.37,40307.07
2025-08,IT,Travel,4004,IT Travel expense,4881.95,5312.64,5038.38
2025-08,IT,Consulting,4005,IT Consulting expense,15597.36,15533.74,15115.15
2025-08,IT,Facilities,4006,IT Facilities expense,10428.86,10063.15,10076.77
2025-08,HR,Payroll,4003,HR Payroll expense,31067.62,28198.23,29913.95
2025-08,HR,Software,4004,HR Software expense,2450.42,2518.42,2492.83
2025-08,HR,Travel,4005,HR Travel expense,5016.1,4703.88,4985.66
2025-08,HR,Consulting,4006,HR Consulting expense,7708.6,7700.25,7478.49
2025-08,HR,Facilities,4007,HR Facilities expense,4920.21,4922.75,4985.66
2025-08,Finance,Payroll,4004,Finance Payroll expense,29823.12,29026.75,30738.14
2025-08,Finance,Software,4005,Finance Software expense,6258.43,6096.54,6147.63
2025-08,Finance,Travel,4006,Finance Travel expense,3111.86,2998.65,3073.81
2025-08,Finance,Consulting,4007,Finance Consulting expense,12011.42,12065.69,12295.25
2025-08,Finance,Facilities,4008,Finance Facilities expense,9513.09,8966.33,9221.44
2025-08,Operations,Payroll,4005,Operations Payroll expense,82442.76,83249.07,83337.84
2025-08,Operations,Software,4006,Operations Software expense,9611.93,8714.65,9259.76
2025-08,Operations,Travel,4007,Operations Travel expense,9045.65,8721.29,9259.76
2025-08,Operations,Consulting,4008,Operations Consulting expense,19383.76,16547.72,18519.52
2025-08,Operations,Facilities,4009,Operations Facilities expense,64157.67,64369.11,64818.32
2025-09,Sales,Payroll,4000,Sales Payroll expense,104943.34,95151.44,109028.54
2025-09,Sales,Software,4001,Sales Software expense,13220.8,14601.32,13628.57
2025-09,Sales,Travel,4002,Sales Travel expense,69863.87,64309.39,68142.84
2025-09,Sales,Consulting,4003,Sales Consulting expense,25920.39,24935.46,27257.13
2025-09,Sales,Facilities,4004,Sales Facilities expense,52970.27,53771.3,54514.27
2025-09,Marketing,Payroll,4001,Marketing Payroll expense,76163.5,75449.83,75342.96
2025-09,Marketing,Software,4002,Marketing Software expense,21341.35,21411.34,21526.56
2025-09,Marketing,Travel,4003,Marketing Travel expense,33195.61,32348.61,32289.84
2025-09,Marketing,Consulting,4004,Marketing Consulting expense,56292.44,49865.27,53816.4
2025-09,Marketing,Facilities,4005,Marketing Facilities expense,33442.97,30763.82,32289.84
2025-09,IT,Payroll,4002,IT Payroll expense,29321.17,31840.22,30230.3
2025-09,IT,Software,4003,IT Software expense,40435.86,44508,40307.07
2025-09,IT,Travel,4004,IT Travel expense,5035.7,5294.32,5038.38
2025-09,IT,Consulting,4005,IT Consulting expense,15690.94,16402.23,15115.15
2025-09,IT,Facilities,4006,IT Facilities expense,10334.12,9923,10076.77
2025-09,HR,Payroll,4003,HR Payroll expense,29972.83,27994.2,29913.95
2025-09,HR,Software,4004,HR Software expense,2423.08,2467.58,2492.83
2025-09,HR,Travel,4005,HR Travel expense,5230.38,4440.3,4985.66
2025-09,HR,Consulting,4006,HR Consulting expense,7791.54,7722.31,7478.49
2025-09,HR,Facilities,4007,HR Facilities expense,5017.65,5312.58,4985.66
2025-09,Finance,Payroll,4004,Finance Payroll expense,29656.21,30161.51,30738.14
2025-09,Finance,Software,4005,Finance Software expense,6007.85,6188.06,6147.63
2025-09,Finance,Travel,4006,Finance Travel expense,2976.67,3058.68,3073.81
2025-09,Finance,Consulting,4007,Finance Consulting expense,11769.08,12460.24,12295.25
2025-09,Finance,Facilities,4008,Finance Facilities expense,9586.59,9695.26,9221.44
2025-09,Operations,Payroll,4005,Operations Payroll expense,85624.45,88428.83,83337.84
2025-09,Operations,Software,4006,Operations Software expense,9033.2,8545.27,9259.76
2025-09,Operations,Travel,4007,Operations Travel expense,8957.05,8560.08,9259.76
2025-09,Operations,Consulting,4008,Operations Consulting expense,18455.21,16773.99,18519.52
2025-09,Operations,Facilities,4009,Operations Facilities expense,66523.19,62083.08,64818.32
2025-10,Sales,Payroll,4000,Sales Payroll expense,105678.85,103234.32,109028.54
2025-10,Sales,Software,4001,Sales Software expense,13280.61,13945.1,13628.57
2025-10,Sales,Travel,4002,Sales Travel expense,69902.79,64330.92,68142.84
2025-10,Sales,Consulting,4003,Sales Consulting expense,26519.22,26224.53,27257.13
2025-10,Sales,Facilities,4004,Sales Facilities expense,52364.38,53970.6,54514.27
2025-10,Marketing,Payroll,4001,Marketing Payroll expense,79095.97,72254.93,75342.96
2025-10,Marketing,Software,4002,Marketing Software expense,20923.7,21800.6,21526.56
2025-10,Marketing,Travel,4003,Marketing Travel expense,33207.99,33896.23,32289.84
2025-10,Marketing,Consulting,4004,Marketing Consulting expense,54806.72,50260.26,53816.4
2025-10,Marketing,Facilities,4005,Marketing Facilities expense,32707.3,30289.31,32289.84
2025-10,IT,Payroll,4002,IT Payroll expense,31432.37,33727.66,30230.3
2025-10,IT,Software,4003,IT Software expense,40071.88,45803.91,40307.07
2025-10,IT,Travel,4004,IT Travel expense,5001.34,5746.43,5038.38
2025-10,IT,Consulting,4005,IT Consulting expense,14740.86,16090.56,15115.15
2025-10,IT,Facilities,4006,IT Facilities expense,9573.76,9933.08,10076.77
2025-10,HR,Payroll,4003,HR Payroll expense,29159.18,29639.74,29913.95
2025-10,HR,Software,4004,HR Software expense,2451.84,2471.38,2492.83
2025-10,HR,Travel,4005,HR Travel expense,4930.34,4693.62,4985.66
2025-10,HR,Consulting,4006,HR Consulting expense,7799.26,7305.64,7478.49
2025-10,HR,Facilities,4007,HR Facilities expense,5163.37,5020.79,4985.66
2025-10,Finance,Payroll,4004,Finance Payroll expense,30887.43,30436.02,30738.14
2025-10,Finance,Software,4005,Finance Software expense,6099.47,6069.01,6147.63
2025-10,Finance,Travel,4006,Finance Travel expense,3103.69,2785.38,3073.81
2025-10,Finance,Consulting,4007,Finance Consulting expense,12473.7,12304.31,12295.25
2025-10,Finance,Facilities,4008,Finance Facilities expense,9432.66,9145.53,9221.44
2025-10,Operations,Payroll,4005,Operations Payroll expense,84374.02,81884.98,83337.84
2025-10,Operations,Software,4006,Operations Software expense,9394.8,8612.27,9259.76
2025-10,Operations,Travel,4007,Operations Travel expense,9281.75,9064.5,9259.76
2025-10,Operations,Consulting,4008,Operations Consulting expense,19360.45,15690.77,18519.52
2025-10,Operations,Facilities,4009,Operations Facilities expense,62265.71,65973.12,64818.32
2025-11,Sales,Payroll,4000,Sales Payroll expense,111685.6,98632.01,109028.54
2025-11,Sales,Software,4001,Sales Software expense,13418.95,14093.07,13628.57
2025-11,Sales,Travel,4002,Sales Travel expense,70210.29,67130.47,68142.84
2025-11,Sales,Consulting,4003,Sales Consulting expense,28535.37,25485.65,27257.13
2025-11,Sales,Facilities,4004,Sales Facilities expense,55163.74,56963.08,54514.27
2025-11,Marketing,Payroll,4001,Marketing Payroll expense,72608.83,71694.34,75342.96
2025-11,Marketing,Software,4002,Marketing Software expense,21183.27,21047.77,21526.56
2025-11,Marketing,Travel,4003,Marketing Travel expense,32080.95,32814.76,32289.84
2025-11,Marketing,Consulting,4004,Marketing Consulting expense,54673.14,49251.03,53816.4
2025-11,Marketing,Facilities,4005,Marketing Facilities expense,33488.02,29336.87,32289.84
2025-11,IT,Payroll,4002,IT Payroll expense,30198.86,34077.38,30230.3
2025-11,IT,Software,4003,IT Software expense,41677.34,42940.45,40307.07
2025-11,IT,Travel,4004,IT Travel expense,4992.38,5262.99,5038.38
2025-11,IT,Consulting,4005,IT Consulting expense,15394.45,15212.13,15115.15
2025-11,IT,Facilities,4006,IT Facilities expense,9664.08,9421.44,10076.77
2025-11,HR,Payroll,4003,HR Payroll expense,29128.75,29700.1,29913.95
2025-11,HR,Software,4004,HR Software expense,2386.6,2469.98,2492.83
2025-11,HR,Travel,4005,HR Travel expense,4936.92,4490.54,4985.66
2025-11,HR,Consulting,4006,HR Consulting expense,7688.2,7369.78,7478.49
2025-11,HR,Facilities,4007,HR Facilities expense,5053.67,4959.26,4985.66
2025-11,Finance,Payroll,4004,Finance Payroll expense,29745.31,30765.58,30738.14
2025-11,Finance,Software,4005,Finance Software expense,6367.73,6129.25,6147.63
2025-11,Finance,Travel,4006,Finance Travel expense,3063.35,2957.06,3073.81
2025-11,Finance,Consulting,4007,Finance Consulting expense,12204.19,12201.2,12295.25
2025-11,Finance,Facilities,4008,Finance Facilities expense,8934.21,9366.28,9221.44
2025-11,Operations,Payroll,4005,Operations Payroll expense,84835.86,85234.69,83337.84
2025-11,Operations,Software,4006,Operations Software expense,9059.43,8557.99,9259.76
2025-11,Operations,Travel,4007,Operations Travel expense,9431.19,8473.11,9259.76
2025-11,Operations,Consulting,4008,Operations Consulting expense,18539.17,16717.11,18519.52
2025-11,Operations,Facilities,4009,Operations Facilities expense,66033.94,64750.68,64818.32
2025-12,Sales,Payroll,4000,Sales Payroll expense,113436.67,101833.25,109028.54
2025-12,Sales,Software,4001,Sales Software expense,13545.76,13721.83,13628.57
2025-12,Sales,Travel,4002,Sales Travel expense,68774.65,67570.71,68142.84
2025-12,Sales,Consulting,4003,Sales Consulting expense,25960.48,25582.79,27257.13
2025-12,Sales,Facilities,4004,Sales Facilities expense,55013.85,56365,54514.27
2025-12,Marketing,Payroll,4001,Marketing Payroll expense,74491.75,73724.92,75342.96
2025-12,Marketing,Software,4002,Marketing Software expense,22117.46,22585.54,21526.56
2025-12,Marketing,Travel,4003,Marketing Travel expense,33536.21,35126.47,32289.84
2025-12,Marketing,Consulting,4004,Marketing Consulting expense,53423.92,52614.4,53816.4
2025-12,Marketing,Facilities,4005,Marketing Facilities expense,31695.84,31233.18,32289.84
2025-12,IT,Payroll,4002,IT Payroll expense,29232.31,31866.07,30230.3
2025-12,IT,Software,4003,IT Software expense,40991.51,44130.58,40307.07
2025-12,IT,Travel,4004,IT Travel expense,5289.5,5395.06,5038.38
2025-12,IT,Consulting,4005,IT Consulting expense,15316.63,16306.28,15115.15
